,HVPI,IP_Verarbeitendes_Gew,IP_Nahrungs_Genuss,IP_Textil_Leder,IP_Holz_Papier_Druck,IP_Mineraloel,IP_Chemie,IP_Pharma,IP_Metall_Grundstoffe,IP_Metallerzeugnisse,IP_DV_Elektronik,IP_Elektrisch,IP_Maschinenbau,IP_Kfz,IP_Sonstiger_Fahrzeug,IP_Energie,BS_Konjunkturklima,BS_Produktionserwart,BS_Produktionstendenz,BS_Absatzpreise,BS_Auftragsbestand,PPI_Gesamt,PPI_Konsumgueter,PPI_Vorleistungen,ALQ_Gesamt,ALQ_Maenner,ALQ_Frauen,ALQ_Kern_Ges,ALQ_Kern_M,ALQ_Kern_F,LCI_Lohnkosten_BN,LCI_Loehne_BN,LCI_Lohnkosten_Ind,LCI_Loehne_Ind
2021-03-01,1.9848771266540721,12.270531400966188,1.7690875232774683,10.546500479386388,5.838041431261765,-6.563706563706562,4.739336492891,9.66796875,11.409395973154378,12.058823529411766,9.6551724137931,15.15768056968465,8.254269449715368,37.843336724313325,0.0,3.130929791271342,-171.09826589595377,-91.83673469387756,-413.33333333333326,-172.72727272727272,-127.8048780487805,4.157549234135671,-0.9009009009009028,4.395604395604402,14.705882352941169,13.513513513513509,13.33333333333333,17.24137931034482,18.74999999999998,15.384615384615374,-0.21574973031284195,0.3260869565217428,-0.10964912280703176,0.4424778761061843
2021-04-01,2.0715630885122405,38.42975206611572,0.10928961748633004,30.257801899592927,9.289617486338809,11.161731207289293,11.061946902654874,-6.9072164948453585,36.10013175230564,38.387978142076484,24.4245524296675,31.093544137022388,34.979423868312765,451.2437810945273,17.723004694835677,20.74340527577938,-142.17877094972067,-107.16723549488054,-146.58385093167703,-143.21608040201005,-132.40997229916897,5.500550055005493,-0.4008016032064021,6.277533039647576,8.571428571428562,5.128205128205132,6.25,9.677419354838701,8.823529411764719,11.111111111111093,-0.9165902841429929,-0.910746812386154,-1.8181818181818188,-1.9855595667870096
2021-05-01,2.354048964218447,21.319796954314718,5.210643015521077,15.500000000000004,15.429917550058892,1.7708333333333437,18.56639247943597,8.536585365853666,37.23684210526314,27.08058124174373,23.006535947712404,23.354838709677406,19.59026888604356,48.231511254019296,7.976878612716765,15.54726368159205,-154.7945205479452,-109.42760942760943,-123.89006342494714,-137.71929824561403,-136.50107991360693,7.300884955752207,0.7085020242914908,8.51769911504423,0.0,0.0,0.0,3.124999999999978,2.857142857142869,0.0,-0.9165902841429929,-0.910746812386154,-1.8181818181818188,-1.9855595667870096
2021-06-01,2.0579981290925975,11.182108626198083,3.499999999999992,16.240266963292548,17.009750812567724,-3.9583333333333304,14.45086705202312,9.97920997920998,32.5870646766169,22.24744608399547,20.344827586206904,24.441833137485336,6.83417085427136,-5.597722960151808,12.078346028291609,6.235011990407657,-189.59276018099547,-127.98507462686568,-223.27586206896552,-141.33333333333334,-148.6652977412731,8.29646017699115,1.317122593718345,9.845132743362829,-5.263157894736836,-4.8780487804877986,-5.88235294117646,-3.0303030303030165,-2.777777777777779,-3.3333333333333326,-0.9165902841429929,-0.910746812386154,-1.8181818181818188,-1.9855595667870096
2021-07-01,3.101503759398483,2.5588536335721557,-1.9685039370078705,2.0648967551622377,4.689092762487257,-0.7905138339920903,4.516806722689082,7.605344295991778,16.254416961130747,12.07464324917673,12.514351320321481,12.389380530973447,8.559046587215601,-17.746005046257363,5.164835164835169,3.1542056074766345,-246.05263157894734,-163.67521367521368,242.3076923076923,-193.125,-161.05990783410138,9.933774834437092,1.8292682926829285,12.168141592920346,-7.894736842105255,-9.523809523809534,-11.428571428571422,-6.060606060606055,-2.777777777777779,-6.666666666666677,2.3036649214659644,2.2012578616352085,1.882845188284521,1.7801047120418856
2021-08-01,3.3898305084745672,4.63182897862231,2.4640657084188833,15.295480880648892,5.22803114571746,7.761194029850738,9.832402234636861,20.480404551201016,5.755395683453224,12.740384615384603,15.338164251207731,14.459295261239369,13.613231552162851,-24.09326424870466,3.439803439803435,-1.980198019801993,-336.734693877551,-175.91623036649216,-58.7378640776699,-235.39823008849555,-176.80722891566262,11.135611907386988,2.136317395727372,13.59116022099447,-12.82051282051282,-9.523809523809534,-14.28571428571429,-8.823529411764696,-5.555555555555558,-9.999999999999998,2.3036649214659644,2.2012578616352085,1.882845188284521,1.7801047120418856
2021-09-01,4.064272211720232,-1.6393442622950838,1.3320647002854402,5.379442843419802,-0.7684918347742542,3.1794871794871726,6.785317018909898,7.41839762611276,3.9256198347107363,4.7808764940239,10.710498409331937,8.163265306122458,5.794205794205798,-29.746835443037977,1.976284584980248,3.9215686274509887,-427.02702702702703,-187.19512195121953,-46.23655913978495,-225.9259259259259,-187.1875,12.747252747252746,2.2403258655804503,14.112458654906291,-10.526315789473683,-9.523809523809534,-14.28571428571429,-6.060606060606055,-5.555555555555558,-9.999999999999998,2.3036649214659644,2.2012578616352085,1.882845188284521,1.7801047120418856
2021-10-01,4.6313799621928275,-5.099150141643061,-2.488479262672816,0.6889763779527547,-5.170821791320401,9.491193737769077,-0.6085192697768749,8.008429926238136,-0.8893280632411127,-0.8806262230919848,4.7219307450157455,0.4990019960079861,2.085505735140769,-27.798647633358375,3.0947775628626495,-0.470366886171214,-816.6666666666667,-226.44628099173553,-58.87096774193549,-320.96774193548384,-216.3636363636364,16.13611416026346,2.95918367346939,15.088105726872246,-10.526315789473683,-9.523809523809534,-11.764705882352944,-6.060606060606055,-8.108108108108114,-9.999999999999998,3.6027263875365145,3.2101167315174983,3.197674418604657,2.7079303675048294
2021-11-01,6.017191977077352,-0.45913682277318735,6.219630709426616,2.3809523809523947,-2.063789868667909,8.583247156153039,4.244306418219468,13.360739979445025,-0.3968253968253843,2.5592417061611306,3.7754114230396985,3.656126482213451,4.271844660194191,-18.27731092436975,4.442344045368629,0.46860356138707093,-656.7567567567568,-223.80952380952382,-81.25,-425.0,-267.0807453416149,17.2338090010977,3.6734693877551017,15.824175824175835,-10.526315789473683,-9.523809523809534,-14.70588235294118,-6.060606060606055,-8.108108108108114,-6.896551724137923,3.6027263875365145,3.2101167315174983,3.197674418604657,2.7079303675048294
2021-12-01,5.698005698005693,1.7561983471074516,0.9063444108761365,3.5194174757281482,-3.68421052631579,12.723449001051534,2.9787234042553123,11.75785797438882,3.0450669914738215,0.4576659038901587,7.7526987242394485,8.899297423887575,3.7533512064342966,-8.097560975609753,0.33407572383072903,2.782931354359919,-2711.111111111111,-287.8787878787879,25.742574257425744,-1481.8181818181818,-403.125,20.370370370370374,4.498977505112478,16.210295728368006,-13.157894736842103,-11.904761904761907,-14.70588235294118,-8.823529411764696,-8.108108108108114,-6.896551724137923,3.6027263875365145,3.2101167315174983,3.197674418604657,2.7079303675048294
